Date,Odometer (km),Volume of Added Fuel (L),Amount Paid (R$),Distance Travelled (km),Estimate (km/L),Price per Liter (R$/L),Price per km (R$/km)
04 May 2018,"5,269",11.13,$50.00,0,14.10,4.49,0.32
11 May 2018,"5,426",33.04,$145.01,157,14.11,4.39,0.32
22 May 2018,"5,884",33.12,$152.19,458,13.86,4.60,0.32
06 Jun 2018,"6,365",33.81,$158.54,481,14.52,4.69,0.32
20 Jun 2018,"6,848",10.64,$50.00,483,14.29,4.70,0.33
26 Jun 2018,"6,981",10.64,$50.00,133,12.50,4.70,0.38
13 Jul 2018,"7,112",21.28,$100.00,131,12.31,4.70,0.38
16 Aug 2018,"7,409",14.92,$70.00,297,13.96,4.69,0.34
21 Aug 2018,"7,621",34.00,$159.43,212,14.21,4.69,0.33
06 Sep 2018,"8,102",33.35,$160.05,481,14.15,4.80,0.33
20 Sep 2018,"8,551",21.10,$100.00,449,13.46,4.74,0.36
28 Sep 2018,"8,838",33.98,$154.61,287,13.60,4.55,0.35
11 Oct 2018,"9,270",10.31,$50.00,432,12.71,4.85,0.36
16 Oct 2018,"9,402",32.97,$152.65,132,12.80,4.63,0.38
30 Oct 2018,"9,858",33.33,$154.32,456,13.83,4.63,0.33